RewardID,MttWebRewardID,TravelProductID,IsActive,IsPublic,RewardType,RewardEarnLimitCnt,PurchaseAmtMin,PurchaseAmtMax,RewardAmt,RewardPct,BookingStartDate,BookingEndDate,TravelStartDate,TravelEndDate,hotelCampaign,days,Include,Exclude,GPG,Key,Redemption
23,300,25,1,0,8,0,0,99999999,0,0.2,1/4/14 0:00,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,1,455,0,0,0,"300,25",318
65,343,25,1,0,2,0,0,99999999,0,0.1,14/08/14 0:00,31/12/15 23:59,15/08/14 0:00,30/06/16 23:59,1,504,0,0,0,"343,25",3
68,346,25,1,0,2,0,0,99999999,0,0.1,9/9/14 0:00,31/08/16 23:59,9/9/14 0:00,31/12/16 23:59,1,592,0,0,0,"346,25",105
120,389,6,1,1,2,0,10,99999999,0,0.1,29/08/13 0:00,30/06/16 23:59,1/9/13 0:00,31/12/16 23:59,1,968,0,0,0,"389,6",173
219,542,6,0,0,2,10,10,99999999,0,0.1,30/09/14 0:00,1/1/15 23:59,1/10/14 0:00,31/12/15 23:59,1,93,0,1,0,"542,6",5415
220,543,6,1,0,2,10,10,99999999,0,0.1,30/09/14 0:00,1/1/15 23:59,1/10/14 0:00,31/12/15 23:59,1,93,0,0,0,"543,6",10
233,556,6,1,0,2,1,50,99999999,0,0.1,7/11/14 0:00,1/12/14 23:59,7/11/14 0:00,4/11/15 23:59,1,24,0,0,0,"556,6",3
239,562,6,1,0,2,1,10,99999999,0,0.1,1/1/15 0:00,1/4/15 23:59,1/1/15 0:00,31/12/15 23:59,1,90,0,0,0,"562,6",71
240,563,6,1,0,2,10,10,99999999,0,0.1,1/1/15 0:00,1/4/15 23:59,1/1/15 0:00,31/12/15 23:59,1,90,0,0,0,"563,6",7864
241,564,6,1,0,2,1,0,99999999,0,0.05,16/01/15 0:00,23/01/15 23:59,16/01/15 0:00,31/12/15 23:59,1,7,0,0,0,"564,6",1
244,567,6,1,1,2,0,0,99999999,0,0.05,1/2/15 0:00,1/2/16 23:59,1/2/15 0:00,1/8/16 23:59,1,365,0,0,1,"567,6",2354
259,582,6,1,0,2,5,10,99999999,0,0.1,6/3/15 0:00,1/7/15 23:59,6/3/15 0:00,31/12/15 23:59,1,117,0,0,0,"582,6",13610
262,34,9,1,1,2,1,0,99999999,0,0.1,10/2/12 0:00,15/02/12 23:59,13/02/12 0:00,31/12/12 23:59,1,5,0,0,0,"34,9",27
264,36,9,1,1,2,1,0,99999999,0,0.1,17/02/12 0:00,24/02/12 23:59,17/02/12 0:00,31/12/12 23:59,1,7,0,0,0,"36,9",3
265,37,9,1,1,2,0,0,99999999,0,0.1,5/3/12 0:00,15/04/12 23:59,9/3/12 0:00,30/06/12 23:59,1,41,1,0,0,"37,9",1
266,38,9,1,1,2,0,0,99999999,0,0.2,5/3/12 0:00,15/04/12 23:59,9/3/12 0:00,30/06/12 23:59,1,41,1,0,0,"38,9",5
268,40,9,1,1,2,0,0,99999999,0,0.1,19/03/12 0:00,22/03/12 23:59,20/03/12 0:00,30/06/12 23:59,1,3,0,0,0,"40,9",1
273,45,9,1,1,2,1,0,99999999,0,0.1,17/04/12 0:00,22/04/12 23:59,17/04/12 0:00,31/05/12 23:59,1,5,0,0,0,"45,9",17
276,48,9,1,1,2,0,0,99999999,0,0.1,8/5/12 0:00,10/5/12 23:59,8/5/12 0:00,31/12/12 23:59,1,2,0,0,0,"48,9",12
277,49,9,1,1,2,0,0,99999999,0,0.2,8/5/12 0:00,10/5/12 23:59,8/5/12 0:00,31/12/12 23:59,1,2,0,0,0,"49,9",2
278,50,9,1,1,2,0,0,99999999,0,0.1,15/05/12 0:00,18/06/12 23:59,30/05/12 0:00,31/08/12 23:59,1,34,0,0,0,"50,9",594
281,53,9,1,1,2,0,10,99999999,0,0.05,22/05/12 0:00,28/05/12 23:59,16/05/12 0:00,31/12/12 23:59,1,6,0,0,0,"53,9",12
289,61,9,1,1,2,0,0,99999999,0,0.1,21/06/12 0:00,29/07/12 23:59,21/06/12 0:00,10/1/13 23:59,1,38,0,0,0,"61,9",599
290,62,9,1,1,2,0,0,99999999,0,0.1,19/06/12 0:00,29/07/12 23:59,21/06/12 0:00,10/1/13 23:59,1,40,0,0,0,"62,9",2
292,64,9,1,1,2,0,10,99999999,0,0.1,25/06/12 0:00,28/06/12 23:59,26/06/12 0:00,30/09/12 23:59,1,3,0,0,0,"64,9",2
304,76,9,1,1,2,0,0,99999999,0,0.15,24/07/12 0:00,10/8/12 23:59,30/07/12 0:00,10/1/13 23:59,1,17,0,0,0,"76,9",34
310,82,9,1,1,2,0,10,99999999,0,0.1,21/08/12 0:00,23/08/12 23:59,21/08/12 0:00,31/10/12 23:59,1,2,1,0,0,"82,9",3
312,84,9,1,0,2,1,10,99999999,0,0.1,4/12/12 0:00,6/1/13 23:59,5/12/12 0:00,30/06/13 23:59,1,33,0,0,0,"84,9",31
313,85,9,1,1,2,0,10,99999999,0,0.1,4/9/12 0:00,6/9/12 23:59,4/9/12 0:00,30/11/12 23:59,1,2,1,0,0,"85,9",1
314,86,9,1,1,2,0,0,99999999,0,0.1,23/08/12 0:00,1/9/12 23:59,30/08/12 0:00,10/1/13 23:59,1,9,0,0,0,"86,9",16
321,93,9,1,1,2,1,10,99999999,0,0.1,10/9/12 0:00,20/09/12 23:59,18/09/12 0:00,30/11/12 23:59,1,10,0,0,0,"93,9",1
322,94,9,1,1,2,1,10,99999999,0,0.1,24/09/12 0:00,27/09/12 23:59,25/09/12 0:00,31/12/12 23:59,1,3,1,0,0,"94,9",2
325,97,9,1,1,2,1,10,99999999,0,0.1,1/10/12 0:00,4/10/12 23:59,2/10/12 0:00,31/12/12 23:59,1,3,0,0,0,"97,9",11
326,98,9,1,1,2,1,10,99999999,0,0.1,8/10/12 0:00,11/10/12 23:59,9/10/12 0:00,31/12/12 23:59,1,3,1,0,0,"98,9",2
328,100,9,1,1,2,1,10,99999999,0,0.1,22/10/12 0:00,25/10/12 23:59,23/10/12 0:00,31/12/12 23:59,1,3,1,0,0,"100,9",2
329,101,9,1,1,2,1,0,99999999,0,0.1,11/10/12 0:00,30/10/12 23:59,16/10/12 0:00,31/12/12 23:59,1,19,0,0,0,"101,9",107
331,103,9,1,1,2,1,10,99999999,0,0.1,29/10/12 0:00,1/11/12 23:59,30/10/12 0:00,31/01/13 23:59,1,3,1,0,0,"103,9",4
332,104,9,1,1,2,1,10,99999999,0,0.1,5/11/12 0:00,8/11/12 23:59,6/11/12 0:00,31/01/13 23:59,1,3,0,0,0,"104,9",3
333,105,9,1,1,2,1,10,99999999,0,0.1,1/11/12 0:00,31/12/12 23:59,1/11/12 0:00,30/06/13 23:59,1,60,0,0,0,"105,9",77
334,106,9,1,1,2,1,10,99999999,0,0.1,12/11/12 0:00,15/11/12 23:59,13/11/12 0:00,14/02/13 23:59,1,3,1,0,0,"106,9",7
335,107,9,1,1,2,1,10,99999999,0,0.1,19/11/12 0:00,22/11/12 23:59,20/11/12 0:00,28/02/13 23:59,1,3,0,0,0,"107,9",2
337,109,9,1,1,2,1,10,99999999,0,0.1,15/11/12 0:00,30/04/13 23:59,15/11/12 0:00,31/12/13 23:59,1,166,0,0,0,"109,9",83
338,110,9,1,1,2,1,10,99999999,0,0.1,26/11/12 0:00,29/11/12 23:59,27/11/12 0:00,28/02/13 23:59,1,3,1,0,0,"110,9",14
342,114,9,1,1,2,1,10,99999999,0,0.1,10/12/12 0:00,13/12/12 23:59,11/12/12 0:00,28/02/13 23:59,1,3,1,0,0,"114,9",1
343,115,9,1,1,2,1,10,99999999,0,0.1,17/12/12 0:00,20/12/12 23:59,18/12/12 0:00,31/03/13 23:59,1,3,0,0,0,"115,9",2
346,118,9,1,1,2,1,0,99999999,0,0.2,13/12/12 0:00,6/1/13 23:59,7/1/13 0:00,31/12/13 23:59,1,24,0,0,1,"118,9",1
351,123,9,1,1,2,1,10,99999999,0,0.1,31/12/12 0:00,10/1/13 23:59,8/1/13 0:00,8/4/13 23:59,1,10,0,0,1,"123,9",7
354,126,9,1,1,2,1,10,99999999,0,0.1,10/1/13 0:00,31/01/13 23:59,29/01/13 0:00,29/05/13 23:59,1,21,0,0,1,"126,9",1
355,127,9,1,1,2,1,10,99999999,0,0.1,14/01/13 0:00,7/2/13 23:59,17/01/13 0:00,31/12/13 23:59,1,24,0,0,1,"127,9",28
356,128,9,1,0,2,1,0,99999999,0,0.1,15/01/13 0:00,28/02/13 23:59,15/01/13 0:00,30/06/13 23:59,1,44,0,0,0,"128,9",6
357,129,9,1,1,2,1,10,99999999,0,0.1,17/01/13 0:00,11/2/13 23:59,4/2/13 0:00,31/10/13 23:59,1,25,0,0,1,"129,9",118
358,130,9,1,0,2,1,0,99999999,0,0.2,18/01/13 0:00,31/12/13 23:59,18/01/13 0:00,31/12/13 23:59,1,347,0,0,0,"130,9",1
359,131,9,1,1,2,1,10,99999999,0,0.1,5/2/13 0:00,21/02/13 23:59,19/02/13 0:00,19/05/13 23:59,1,16,1,0,0,"131,9",6
361,133,9,1,1,2,1,0,99999999,0,0.1,5/3/13 0:00,7/3/13 23:59,5/3/13 0:00,5/6/13 23:59,1,2,1,0,0,"133,9",3
364,136,9,1,0,2,1,10,99999999,0,0.1,6/3/13 0:00,17/06/13 23:59,18/03/13 0:00,31/12/13 23:59,1,103,0,0,1,"136,9",20
366,138,9,1,1,2,1,10,99999999,0,0.1,19/03/13 0:00,21/03/13 23:59,19/03/13 0:00,19/06/13 23:59,1,2,1,0,0,"138,9",1
373,145,9,1,0,2,1,0,99999999,0,0.05,8/4/13 0:00,31/05/13 23:59,8/4/13 0:00,30/06/13 23:59,1,53,0,0,0,"145,9",3
374,146,9,1,1,2,1,0,99999999,0,0.1,16/04/13 0:00,18/04/13 23:59,16/04/13 0:00,16/07/13 23:59,1,2,1,0,0,"146,9",1
375,147,9,1,1,2,1,10,99999999,0,0.1,30/04/13 0:00,2/5/13 23:59,30/04/13 0:00,31/08/13 23:59,1,2,1,0,0,"147,9",2
378,150,9,1,1,2,1,0,99999999,0,0.05,24/04/13 0:00,2/5/13 23:59,25/04/13 0:00,7/1/14 23:59,1,8,0,0,1,"150,9",27
379,151,9,1,1,2,1,0,99999999,0,0.1,30/04/13 0:00,16/05/13 23:59,14/05/13 0:00,14/09/13 23:59,1,16,1,0,0,"151,9",2
381,153,9,1,1,2,1,0,99999999,0,0.1,9/5/13 0:00,31/05/13 23:59,10/5/13 0:00,7/1/14 23:59,1,22,0,0,1,"153,9",1
383,155,9,1,1,2,0,10,99999999,0,0.05,13/05/13 0:00,4/6/13 23:59,14/05/13 0:00,7/1/14 23:59,1,22,0,0,1,"155,9",122
384,156,9,1,1,2,0,10,99999999,0,0.1,28/03/13 0:00,30/09/13 23:59,1/4/13 0:00,31/03/14 23:59,1,186,0,0,0,"156,9",4
386,158,9,1,1,2,0,10,99999999,0,0.1,4/6/13 0:00,31/07/14 23:59,4/6/13 0:00,31/03/15 23:59,1,422,0,0,0,"158,9",1582
388,160,9,1,1,2,1,0,99999999,0,0.1,8/7/13 0:00,29/07/13 23:59,8/7/13 0:00,7/1/14 23:59,1,21,0,0,1,"160,9",228
389,161,9,1,1,2,1,10,99999999,0,0.1,11/6/13 0:00,20/06/13 23:59,18/06/13 0:00,18/10/13 23:59,1,9,1,0,0,"161,9",6
390,162,9,1,1,2,1,10,99999999,0,0.1,11/6/13 0:00,20/06/13 23:59,18/06/13 0:00,18/10/13 23:59,1,9,1,0,0,"162,9",1
391,163,9,1,0,2,1,0,99999999,0,0.1,20/06/13 0:00,31/12/13 23:59,20/06/13 0:00,31/12/13 23:59,1,194,0,0,0,"163,9",2
399,171,9,1,1,2,1,0,99999999,0,0.05,18/07/13 0:00,8/8/13 23:59,19/07/13 0:00,7/1/14 23:59,1,21,0,1,0,"171,9",70
400,172,9,1,1,2,1,0,99999999,0,0.2,7/7/13 0:00,31/08/13 23:59,11/7/13 0:00,7/1/14 23:59,1,55,0,0,0,"172,9",1
401,173,9,1,1,2,1,0,99999999,0,0.1,9/7/13 0:00,31/08/13 23:59,9/7/13 0:00,7/1/14 23:59,1,53,0,0,0,"173,9",1
403,175,9,1,1,2,1,10,99999999,0,0.1,30/07/13 0:00,1/8/13 23:59,30/07/13 0:00,30/10/13 23:59,1,2,1,0,0,"175,9",11
407,179,9,1,1,2,1,10,99999999,0,0.1,9/8/13 0:00,20/08/13 23:59,13/08/13 0:00,13/11/13 23:59,1,11,1,0,0,"179,9",12
408,180,9,0,1,2,1,0,99999999,0,0.1,28/08/13 0:00,29/08/13 23:59,28/08/13 0:00,31/10/13 23:59,1,1,1,0,0,"180,9",1
409,181,9,1,1,2,0,10,99999999,0,0.1,8/9/13 0:00,12/9/13 23:59,12/9/13 0:00,7/1/14 23:59,1,4,0,0,1,"181,9",64
411,183,9,1,1,2,0,0,99999999,0,0.1,12/9/13 0:00,19/09/13 23:59,17/09/13 0:00,7/1/14 23:59,1,7,0,0,1,"183,9",31
412,184,9,1,1,2,0,10,99999999,0,0.1,23/09/13 0:00,30/06/16 23:59,1/10/13 0:00,31/12/16 23:59,1,943,0,0,0,"184,9",6
414,186,9,1,1,2,0,10,99999999,0,0.05,24/09/13 0:00,31/12/14 23:59,1/10/13 0:00,30/04/15 23:59,1,463,0,0,1,"186,9",156
416,188,9,1,1,2,0,10,99999999,0,0.1,24/09/13 0:00,21/10/13 23:59,7/10/13 0:00,7/1/14 23:59,1,27,0,0,1,"188,9",115
418,190,9,1,1,2,0,10,99999999,0,0.1,25/09/13 0:00,3/10/13 23:59,1/10/13 0:00,3/1/14 23:59,1,8,1,0,0,"190,9",2
419,191,9,1,0,2,1,0,99999999,0,0.05,25/09/13 0:00,30/11/13 23:59,25/09/13 0:00,31/12/13 23:59,1,66,0,0,0,"191,9",6
427,199,9,1,1,2,0,0,99999999,0,0.1,7/11/13 0:00,22/11/13 23:59,11/11/13 0:00,31/03/14 23:59,1,15,0,0,1,"199,9",54
429,201,9,1,1,2,0,10,99999999,0,0.1,29/11/13 0:00,5/12/13 23:59,3/12/13 0:00,31/03/14 23:59,1,6,1,0,0,"201,9",3
430,202,9,1,1,2,0,0,99999999,0,0.1,19/12/13 0:00,25/12/13 23:59,19/12/13 0:00,31/08/14 23:59,1,6,0,0,1,"202,9",21
431,203,9,1,0,2,1,0,99999999,0,0.05,10/12/13 0:00,31/03/14 23:59,10/12/13 0:00,30/04/14 23:59,1,111,0,0,0,"203,9",3
432,204,73,1,1,2,0,20,99999999,0,0.1,18/12/13 0:00,31/12/13 23:59,18/12/13 0:00,31/03/14 23:59,1,13,0,0,1,"204,73",4
449,221,9,1,1,2,0,0,99999999,0,0.1,7/1/14 0:00,9/1/14 23:59,7/1/14 0:00,23/02/14 23:59,1,2,0,0,1,"221,9",5
452,224,9,1,1,2,0,0,99999999,0,0.1,18/02/14 0:00,20/02/14 23:59,18/02/14 0:00,6/4/14 23:59,1,2,0,0,0,"224,9",13
453,225,9,1,1,2,0,0,99999999,0,0.1,4/2/14 0:00,6/2/14 23:59,4/2/14 0:00,23/03/14 23:59,1,2,1,0,0,"225,9",1
454,226,9,1,1,2,0,10,99999999,0,0.1,5/3/14 0:00,10/3/14 23:59,6/3/14 0:00,12/6/14 23:59,1,5,0,0,1,"226,9",17
455,227,9,1,1,2,0,0,99999999,0,0.1,17/03/14 0:00,20/03/14 23:59,18/03/14 0:00,4/5/14 23:59,1,3,0,0,1,"227,9",11
456,228,9,1,1,2,0,0,99999999,0,0.1,31/03/14 0:00,3/4/14 23:59,1/4/14 0:00,18/05/14 23:59,1,3,0,0,1,"228,9",8
457,229,9,1,1,2,0,10,99999999,0,0.1,1/4/14 0:00,20/04/14 23:59,2/4/14 0:00,31/12/14 23:59,1,19,0,0,1,"229,9",22
458,230,9,1,1,2,0,10,99999999,0,0.1,1/4/14 0:00,20/04/14 23:59,2/4/14 0:00,31/12/14 23:59,1,19,0,0,1,"230,9",72
459,231,9,1,1,2,0,10,99999999,0,0.1,14/04/14 0:00,17/04/14 23:59,15/04/14 0:00,1/6/14 23:59,1,3,0,0,1,"231,9",4
460,232,9,1,1,2,0,10,99999999,0,0.1,28/04/14 0:00,1/5/14 23:59,29/04/14 0:00,15/06/14 23:59,1,3,0,0,1,"232,9",7
461,233,9,1,1,2,0,10,99999999,0,0.1,12/5/14 0:00,15/05/14 23:59,13/05/14 0:00,29/06/14 23:59,1,3,0,0,1,"233,9",13
463,235,9,1,0,2,0,0,99999999,0,0.1,26/05/14 0:00,31/05/15 23:59,1/6/14 0:00,31/05/15 23:59,1,370,0,0,0,"235,9",5
465,237,9,1,0,2,1,0,99999999,0,0.2,16/05/14 0:00,24/05/14 23:59,20/05/14 0:00,28/06/14 23:59,1,8,0,0,0,"237,9",1
466,238,9,1,1,2,0,10,99999999,0,0.1,20/05/14 0:00,29/05/14 23:59,27/05/14 0:00,13/07/14 23:59,1,9,0,0,1,"238,9",6
469,241,9,1,1,2,0,10,99999999,0,0.15,13/06/14 0:00,30/06/14 23:59,16/06/14 0:00,5/1/15 23:59,1,17,0,0,1,"241,9",111
471,243,9,1,1,2,0,10,99999999,0,0.1,13/06/14 0:00,30/06/14 23:59,16/06/14 0:00,5/1/15 23:59,1,17,0,0,1,"243,9",50
