RewardID,MttWebRewardID,TravelProductID,IsActive,IsPublic,RewardType,RewardEarnLimitCnt,PurchaseAmtMin,PurchaseAmtMax,RewardAmt,RewardPct,BookingStartDate,BookingEndDate,TravelStartDate,TravelEndDate,hotelCampaign,days,Include,Exclude,GPG,Key,Redemption
1,7,25,1,0,1,0,1,99999,50,0,23/10/06 0:00,31/03/17 23:59,23/10/06 0:00,31/03/18 23:59,1,3470,0,0,0,"7,25",5085
2,13,25,1,0,1,0,150,999999,150,0,22/12/06 0:00,31/03/17 23:59,22/12/06 0:00,31/03/18 23:59,1,3410,0,0,0,"13,25",126
3,14,25,1,0,1,0,100,9999999,100,0,22/12/06 0:00,31/03/17 23:59,22/12/06 0:00,31/03/18 23:59,1,3410,0,0,0,"14,25",1232
4,81,25,1,0,1,0,350,9999999,50,0,13/07/09 0:00,31/03/17 23:59,13/07/09 0:00,31/03/18 23:59,1,2476,0,0,0,"81,25",5587
5,148,25,1,0,1,0,1,99999999,200,0,18/04/11 0:00,31/03/17 23:59,19/04/11 0:00,31/03/18 23:59,1,1832,0,0,0,"148,25",47
18,295,25,1,0,2,1,1,999999,250,0,1/1/2014,1/1/2016,1/1/14 0:00,1/1/16 23:59,1,730,0,0,0,"295,25",1
20,297,25,1,0,2,1,0,99999999,250,0,7/2/2014,31/08/15 23:59,8/2/14 0:00,31/12/15 23:59,1,570,0,0,0,"297,25",21
21,298,25,1,0,1,1,1,99999999,500,0,27/02/14 0:00,31/03/17 23:59,27/02/14 0:00,31/03/18 23:59,1,786,0,0,0,"298,25",5
23,300,25,1,0,8,0,0,99999999,0,0.2,1/4/2014,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,1,455,0,0,0,"300,25",318
25,302,25,1,0,8,0,500,99999999,50,0,1/4/2014,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,0,455,0,0,0,"302,25",6
26,303,25,1,0,8,0,1000,99999999,100,0,1/4/2014,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,0,455,0,0,0,"303,25",14
27,304,25,1,0,8,0,2000,99999999,200,0,1/4/2014,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,0,455,0,0,0,"304,25",4
28,305,25,1,0,8,0,3000,99999999,300,0,1/4/2014,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,0,455,0,0,0,"305,25",3
29,306,25,1,0,8,0,4000,99999999,400,0,1/4/2014,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,0,455,0,0,0,"306,25",2
30,307,25,1,0,8,0,5000,99999999,500,0,1/4/2014,30/06/15 23:59,1/4/14 0:00,31/03/16 23:59,0,455,0,0,0,"307,25",2
46,324,25,1,0,1,0,0,99999999,25,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"324,25",16
47,325,25,1,0,1,0,0,99999999,80,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"325,25",7
48,326,25,1,0,1,0,0,99999999,110,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"326,25",10
49,327,25,1,0,1,0,0,99999999,160,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"327,25",9
50,328,25,1,0,1,0,0,99999999,220,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"328,25",12
52,330,25,1,0,1,0,0,99999999,25,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"330,25",7
53,331,25,1,0,1,1,0,99999999,50,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"331,25",184
54,332,25,1,0,1,0,0,99999999,80,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"332,25",11
55,333,25,1,0,1,0,0,99999999,110,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"333,25",13
56,334,25,1,0,1,0,0,99999999,160,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"334,25",7
57,335,25,1,0,1,0,0,99999999,220,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"335,25",6
61,339,25,1,0,2,1,0,99999999,1000,0,21/07/14 0:00,31/10/15 23:59,1/8/14 0:00,31/12/16 23:59,1,467,0,0,0,"339,25",5
62,340,25,1,0,2,1,0,99999999,7500,0,21/07/14 0:00,31/10/15 23:59,1/8/14 0:00,31/12/16 23:59,1,467,0,0,0,"340,25",1
63,341,25,1,0,1,0,0,99999999,250,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"341,25",27
64,342,25,1,0,1,0,0,99999999,250,0,8/7/2014,28/02/17 23:59,8/7/14 0:00,28/02/18 23:59,1,655,0,0,0,"342,25",13
65,343,25,1,0,2,0,0,99999999,0,0.1,14/08/14 0:00,31/12/15 23:59,15/08/14 0:00,30/06/16 23:59,1,504,0,0,0,"343,25",3
68,346,25,1,0,2,0,0,99999999,0,0.1,9/9/2014,31/08/16 23:59,9/9/14 0:00,31/12/16 23:59,1,592,0,0,0,"346,25",105
83,361,70125,1,0,1,0,0,99999999,50,0,5/1/2015,28/02/17 23:59,5/1/15 0:00,28/02/18 23:59,1,474,0,0,0,"36,170,125",113
84,362,70125,1,0,1,0,0,99999999,100,0,5/1/2015,28/02/17 23:59,5/1/15 0:00,28/02/18 23:59,1,474,0,0,0,"36,270,125",48
85,363,70125,1,0,1,0,0,99999999,150,0,5/1/2015,28/02/17 23:59,5/1/15 0:00,28/02/18 23:59,1,474,0,0,0,"36,370,125",4
86,364,70125,1,0,1,0,0,99999999,200,0,5/1/2015,28/02/17 23:59,5/1/15 0:00,28/02/18 23:59,1,474,0,0,0,"36,470,125",9
87,365,70125,1,0,1,0,0,99999999,50,0,5/1/2015,28/02/17 23:59,5/1/15 0:00,28/02/18 23:59,1,474,0,0,0,"36,570,125",29
88,366,70125,1,0,1,0,0,99999999,100,0,5/1/2015,28/02/17 23:59,5/1/15 0:00,28/02/18 23:59,1,474,0,0,0,"36,670,125",6
89,367,70125,1,0,1,0,0,99999999,150,0,5/1/2015,28/02/17 23:59,5/1/15 0:00,28/02/18 23:59,1,474,0,0,0,"36,770,125",1
94,372,25,1,0,2,1,0,99999999,6294,0,27/01/15 0:00,2/2/2016,28/01/15 0:00,29/02/16 23:59,1,371,0,1,0,"372,25",1
105,383,25,1,0,2,0,0,99999999,1000,0,24/03/15 0:00,24/03/25 23:59,24/03/15 0:00,24/03/25 23:59,1,396,0,0,0,"383,25",1054
106,384,25,1,0,2,0,0,99999999,300,0,24/03/15 0:00,24/03/25 23:59,24/03/15 0:00,24/03/25 23:59,0,396,0,0,0,"384,25",208
107,385,25,1,0,2,0,0,99999999,1000,0,24/03/15 0:00,24/03/25 23:59,24/03/15 0:00,24/03/25 23:59,1,396,1,0,0,"385,25",167
110,222,6,0,0,1,99,0,99999999,25,0,1/1/2011,31/10/14 23:59,1/1/11 0:00,31/10/15 23:59,1,1399,0,0,0,"222,6",136
111,223,6,0,0,1,99,0,99999999,50,0,1/1/2011,31/10/14 23:59,1/1/11 0:00,31/10/15 23:59,1,1399,0,0,0,"223,6",171
112,224,6,0,0,1,99,0,99999999,75,0,1/1/2011,31/10/14 23:59,1/1/11 0:00,31/10/15 23:59,1,1399,0,0,0,"224,6",445
113,225,6,0,0,1,20,0,99999999,100,0,1/1/2011,31/10/14 23:59,1/1/11 0:00,31/10/15 23:59,1,1399,0,0,0,"225,6",76
115,227,6,0,0,1,20,0,99999999,200,0,1/1/2011,31/10/14 23:59,1/1/11 0:00,31/10/15 23:59,1,1399,0,0,0,"227,6",4
120,389,6,1,1,2,0,10,99999999,0,0.1,29/08/13 0:00,30/06/16 23:59,1/9/13 0:00,31/12/16 23:59,1,968,0,0,0,"389,6",173
123,408,6,1,1,2,0,300,99999999,30,0,30/09/13 0:00,30/06/16 23:59,1/10/13 0:00,31/12/16 23:59,0,936,0,0,0,"408,6",9
128,420,6,0,0,1,99,0,99999999,25,0,1/10/2013,31/10/14 23:59,1/10/13 0:00,31/10/15 23:59,0,395,0,0,0,"420,6",1
129,421,6,0,0,1,99,0,99999999,50,0,1/10/2013,31/10/14 23:59,1/10/13 0:00,31/10/15 23:59,0,395,0,0,0,"421,6",1
130,422,6,0,0,1,99,0,99999999,75,0,1/10/2013,31/10/14 23:59,1/10/13 0:00,31/10/15 23:59,0,395,0,0,0,"422,6",3
131,423,6,0,0,1,99,0,99999999,100,0,1/10/2013,31/10/14 23:59,1/10/13 0:00,31/10/15 23:59,0,395,0,0,0,"423,6",1
147,447,6,1,0,1,99,0,99999999,25,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"447,6",260
148,448,6,1,0,1,99,0,99999999,50,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"448,6",483
149,449,6,1,0,1,99,0,99999999,75,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"449,6",222
150,450,6,1,0,1,99,0,99999999,100,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"450,6",295
151,451,6,1,0,1,99,0,99999999,150,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"451,6",220
152,452,6,1,0,1,2,0,99999999,200,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"452,6",185
154,454,6,1,0,1,99,0,99999999,25,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"454,6",36
155,455,6,1,0,1,99,0,99999999,50,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"455,6",66
156,456,6,1,0,1,99,0,99999999,75,0,20/12/13 0:00,31/03/17 23:59,20/12/13 0:00,31/03/18 23:59,1,855,0,0,0,"456,6",34
